,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.0,20.0,99.0,43.0,-160.0,108.0,-6.0,-92.0,49.0,145.0,-112.0,-9.0,-26.0,41.0,233.0,-56.0,167.0,11.0,-30.0,-71.0,-36.0,74.0,-171.0,176.0,-32.0,82.0,-39.0,-103.0,91.0,12.0,3.0
170218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,-1.0,213.0,95.0,121.0,15.0,17.0,,,,,,,,,,,,,,,,,,,,,
170219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,68.0,-60.0,12.0,89.0,-76.0,19.0,-221.0,222.0,35.0,-124.0,-15.0,43.0,34.0,78.0,-24.0,14.0,10.0,-3.0,1.0,4.0,-4.0,-4.0,26.0,-40.0,-5.0,0.0,0.0
170223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.0,4.0,8.0,151.0,-140.0,19.0,-19.0,104.0,125.0,-7.0,-6.0,36.0,36.0,-22.0,-102.0,-38.0,56.0,47.0,-121.0,-4.0,30.0,38.0,-166.0,157.0,-81.0,125.0,57.0
170226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,6.0,42.0,18.0,25.0,62.0,-6.0,-46.0,42.0,-65.0,-9.0,39.0,0.0,-24.0,,,,,,,,,,,,,
170227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,126.0,28.0,18.0,45.0,30.0,-67.0,-12.0,107.0,-97.0,-251.0,-1.0,18.0,42.0,-61.0,2.0,34.0,22.0,-32.0,27.0,-30.0,39.0,-57.0,56.0,82.0,108.0,-74.0
170228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,19.0,36.0,-1.0,-41.0,38.0,,,,,,,,,,,,,,,,,,,,,
170233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,19.0,-138.0,279.0,69.0,-25.0,-113.0,31.0,-24.0,265.0,71.0,11.0,-14.0,25.0,-28.0,6.0,9.0,-14.0,-42.0,-66.0,-46.0,-82.0,-50.0,-8.0,20.0,64.0,10.0
170235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,-8.0,-36.0,75.0,9.0,73.0,-24.0,36.0,107.0,-48.0,172.0,-110.0,-56.0,88.0,-5.0,-6.0,1.0,-12.0,9.0,-61.0,15.0,52.0,37.0,-64.0,-10.0
170236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,-83.0,-63.0,-12.0,-6.0,0.0,11.0,-9.0,14.0,45.0,-25.0,-33.0,107.0,-51.0,-25.0,-15.0,11.0,21.0,196.0,-239.0,12.0,-19.0,18.0,68.0,-22.0
