,Cell,Time,Channel,Area,Mean,Variance,Total Intensity,Center of Mass X,Center of Mass Y,Angle of Major Axis,Length Major Axis,Length Minor Axis,Disappeared in video,Growth,Name,Site
4739,80154,3,Channel1,91,3243.208791208792,362134.0772853521,295132,480.6373626373626,856.7472527472528,82.52392199475715,13.391352010050213,8.899418647916564,False,-2.0,8,7&8
4740,80154,4,Channel1,94,3190.7127659574467,324667.7366455409,299927,481.7340425531915,855.6276595744681,83.73909955941218,14.043081024588012,8.77971194405023,False,3.0,8,7&8
4741,80154,5,Channel1,86,3079.6744186046512,328968.68469442945,264852,481.8837209302326,855.4418604651163,84.1151523975061,12.388019132005788,8.983899097684168,False,-8.0,8,7&8
4742,80154,6,Channel1,80,3000.2,289400.16000000003,240016,482.425,854.1875,80.01629007005306,11.541370319396504,9.090783286978446,False,-6.0,8,7&8
4743,80154,7,Channel1,79,2924.1898734177216,328118.76141643967,231011,481.8987341772152,856.1139240506329,74.63173572169423,11.312726062885732,9.027285402393396,False,-1.0,8,7&8
4744,80154,8,Channel1,71,2846.281690140845,267446.06149573496,202086,482.1971830985916,854.4929577464789,81.39058972261397,11.120745487612057,8.334785997655723,False,-8.0,8,7&8
4745,80154,9,Channel1,73,2879.2602739726026,257162.52129855508,210186,482.0821917808219,854.4657534246576,78.03147776278196,11.028480156182352,8.619719605878224,False,2.0,8,7&8
4746,80154,10,Channel1,71,2747.2676056338028,301201.4635984924,195056,482.0281690140845,853.5633802816901,75.58099533828782,10.8814976377501,8.490369209911,False,-2.0,8,7&8
4747,80154,11,Channel1,73,2716.780821917808,287019.26702946145,198325,482.7808219178082,852.8630136986301,71.06887013076572,10.70527950342912,8.862025678412662,False,2.0,8,7&8
4748,80154,12,Channel1,79,2763.6075949367087,310399.75741067133,218325,482.8101265822785,852.1772151898734,73.25560350940425,11.275283358910034,9.057110127327174,False,6.0,8,7&8
4749,80154,13,Channel1,77,2726.7662337662337,278125.39989880245,209961,482.4805194805195,854.012987012987,73.87035473523655,11.280994641432258,8.917384579191149,False,-2.0,8,7&8
4750,80154,14,Channel1,72,2661.7361111111118,223416.2498070988,191645,482.2916666666667,851.6666666666666,72.06749733314717,10.489941262523391,8.989227037479049,False,-5.0,8,7&8
4751,80154,15,Channel1,75,2702.333333333333,203128.0888888889,202675,480.85333333333335,853.4133333333333,70.6046617246589,10.737941894874483,9.043978151191892,False,3.0,8,7&8
4752,80154,16,Channel1,75,2588.28,146566.89493333336,194121,481.4933333333333,852.36,78.62780556415737,11.053283464343778,8.883229790099502,False,0.0,8,7&8
4753,80154,17,Channel1,76,2697.9605263157896,203608.4326523546,205045,480.8815789473685,852.25,72.70319378012033,11.22148147329402,8.8112230586981,False,1.0,8,7&8
4754,80154,18,Channel1,75,2663.12,218739.3322666667,199734,481.8666666666667,852.5466666666666,72.98653640710114,11.223707129883811,8.682192714669913,False,-1.0,8,7&8
4755,80154,19,Channel1,73,1027.7808219178082,28017.321823981987,75028,482.13698630136986,849.5068493150685,81.04304268457533,11.479578013747275,8.351493694038917,False,-2.0,8,7&8
4756,80154,20,Channel1,80,2594.425,223619.394375,207554,480.7125,851.7125,78.26850029764019,11.609460420095877,8.970284185826022,False,7.0,8,7&8
4757,80154,21,Channel1,78,2544.397435897436,191940.98307034845,198463,481.5,851.2051282051282,78.92284818742232,11.324139551580588,8.991557846145307,False,-2.0,8,7&8
