field-of-view,high,low,high/low ratio,TF,TF Plate,Row,Col,z_scores,p_scores
5,1.1049299443947098,1.0688348336079152,1.033770522490321,Tbs1,1,A,5,-0.4032798557062389,0.6867423592308652
143,1.1218920572266755,1.0656078135544202,1.0528189104437162,Met4,1,F,2,0.40201964887067965,0.6876695657491566
161,1.0861694107083344,1.0506249839561619,1.0338316976037718,TOD6,2,G,5,-0.4006935849585603,0.6886457344177737
58,1.1326933511042014,1.0954458553762572,1.034002133053989,Stb5,1,C,10,-0.3934881676834565,0.6939589614903796
176,1.0709153540042027,1.0355197172028,1.0341815189159462,GCR2,2,H,5,-0.38590435817077323,0.6995675028236497
61,1.1121864465836058,1.0752127797670867,1.034387302227312,Yhp1,2,C,1,-0.3772045564290975,0.7060215944348349
120,1.1388500101585883,1.0823864586140695,1.0521657963245559,Hpc2,2,E,12,0.37440825845387105,0.7081005996768632
144,1.1072451005941115,1.070310247569087,1.0345085484408953,Xbp1,1,F,1,-0.3720786887719824,0.7098342629558652
188,1.0880649430248535,1.0517566154442128,1.0345216060897375,Stp2,1,H,5,-0.37152665685362385,0.7102453051578184
103,1.1130984150327912,1.0758889934278515,1.0345848148203358,Pdr8,1,E,7,-0.36885441185524004,0.7122362450148596
163,1.089842662360702,1.053289140396062,1.034704166750352,IMP2,2,G,7,-0.3638086279102931,0.7160009193888744
172,1.0703716974184705,1.0344325234926561,1.0347428885979624,ACA1,2,H,9,-0.3621716030463939,0.7172237986464637
149,1.1095554778560637,1.0549952799516251,1.051716058774159,Snf1,1,G,5,0.355394921083256,0.7222937532408502
82,1.1119717273434755,1.057299317312731,1.051709491470875,Rme1,2,D,3,0.35511727837175655,0.7225017328980547
17,1.1631833155607836,1.1060270148511402,1.0516771289870672,Mal13,2,A,5,0.3537491052622547,0.723526918312789
100,1.1162241360537983,1.0784187362737745,1.0350563269242257,Bas1,1,E,4,-0.3489205221952052,0.7271489778025948
51,1.097152912881301,1.0597770960543234,1.0352676208668146,Rap1,1,C,3,-0.33998775015679156,0.7338657529895438
156,1.0978228119305051,1.0603038669158196,1.0353850874125543,Rpn4,1,G,12,-0.3350216736929974,0.7376087368087686
86,1.1187974526721747,1.080535117406384,1.0354105430257852,Haa1,1,D,11,-0.3339454990175514,0.738420685406644
175,1.0752130168269871,1.0384182085211429,1.035433516095837,HAP4,2,H,6,-0.3329742776219867,0.7391536997824315
184,1.085637120843541,1.048478400197364,1.035440616267519,Mth1,1,H,9,-0.3326741070903985,0.7393802968538035
107,1.1010594363577344,1.0633549686224486,1.03545802563384,Pho2,1,E,11,-0.3319380997123675,0.7399360004753062
75,1.0969550798089291,1.0436458386580956,1.0510798195864774,Srd1,2,D,10,0.32849694400057977,0.742535954545549
45,1.1318053675897313,1.0926033166023479,1.0358794911123732,Sum1,1,B,4,-0.3141200070795666,0.753429894595082
177,1.0779579383450695,1.0405019451501798,1.0359980040109233,RDR1,2,H,4,-0.30910969446298686,0.7572380849620814
64,1.107116036165102,1.0686459283284289,1.0359989280049453,Pog1,2,C,4,-0.3090706312136485,0.7572677990832576
71,1.1028196837489408,1.0497298057510536,1.0505748028750148,Sut1,2,C,11,0.3071465962158247,0.7587317920202142
190,1.1045611113689164,1.0660641097543218,1.0361113382041034,Stp4,1,H,3,-0.3043183194740472,0.7608853896897432
96,1.1284324761310105,1.0889090582074263,1.0362963441489301,Arg81,1,D,1,-0.29649691243019294,0.7668506245501017
148,1.1067896969145197,1.0679787052901684,1.036340604388555,Spt10,1,G,4,-0.2946257436399736,0.7682797940725374
189,1.1151403176277481,1.0620087347795921,1.0500293275452042,Rtg3,1,H,4,0.2840857989488756,0.7763446296204259
192,1.1617519520883415,1.1065327989788483,1.0499028615875206,Ume1,1,H,1,0.2787392586895298,0.7804449319755888
154,1.0905257301781182,1.051892574113864,1.0367272828185896,Com2,1,G,10,-0.2782783262679993,0.7807987124198099
35,1.1208490720587039,1.0676566675276251,1.0498216384994405,Bcy1,2,B,2,0.2753054293937873,0.7830815935332017
24,1.1038287727939802,1.0515211857945421,1.04974468199603,Yox1,2,A,12,0.2720519764390267,0.7855820545037515
46,1.1322365011238507,1.0919260724579047,1.0369168112042677,Adr1,1,B,3,-0.27026572617484396,0.7869558310644866
77,1.0965955913609555,1.0574805361851303,1.0369889126441354,Met31,2,D,8,-0.2672175283983816,0.789301680995268
105,1.1178672647523007,1.0779838732278813,1.0369981337522183,Stp1,1,E,9,-0.266827692062154,0.7896018318221635
87,1.1326649940547868,1.0922198252707611,1.0370302459708598,Tea1,1,D,10,-0.26547009929230103,0.7906473410518993
124,1.130804619301025,1.0774973927833233,1.0494731837633517,ZMS1,2,F,9,0.26057397668364995,0.7944210601331715
108,1.1174871685976009,1.0772770733239125,1.0373256762530192,Yap1,1,E,12,-0.25298033583084373,0.8002834087801352
95,1.1352385454244993,1.0819584368018345,1.0492441361982034,Hot1,1,D,2,0.2508906433123555,0.8018986586555303
81,1.101129337720186,1.0613287150559758,1.037500749861565,Fzf1,2,D,4,-0.2455788333745034,0.8060082760518807
31,1.107603231569986,1.067562900036826,1.037506297316794,Hms2,2,B,6,-0.245344306287042,0.8061898483746417
129,1.0985552152068434,1.0471667724869482,1.0490737904124394,Mss11,2,F,4,0.24368901673806653,0.8074716803542055
181,1.0902349655681913,1.0506200790070412,1.0377061959434382,Gzf3,1,H,12,-0.2368932885213343,0.8127395768004422
147,1.1093837968471894,1.0690411794244612,1.0377371968444167,Mot2,1,G,3,-0.23558267839198796,0.8137565158297408
70,1.097156849238947,1.0571877384763415,1.03780701318028,Ino2,2,C,10,-0.23263108685470982,0.8160478856580782
69,1.0991349234561059,1.0589716318182403,1.0379266926809982,Hap5,2,C,9,-0.2275714543612781,0.8199794138008706
104,1.1150432407479252,1.074232799306032,1.037990314081135,Lys14,1,E,8,-0.2248817631319715,0.8220712568613052
158,1.0815034752265191,1.0416942314938549,1.0382158627062523,TOS9,2,G,2,-0.21534635275974853,0.8294972929817825
110,1.1374202162905545,1.084993069636646,1.0483202594754506,Cup2,2,E,2,0.21183235297601197,0.8322378272196318
167,1.0691745823386722,1.0296922489706708,1.0383438191435062,RDS1,2,G,11,-0.20993680021493227,0.8337169997679866
187,1.0891777205360704,1.0489081937745248,1.0383918506887,Tos4,1,H,6,-0.20790619375924174,0.8353022129249557
133,1.1048212326603435,1.0639081710018892,1.0384554445332685,Ixr1,1,F,12,-0.20521766748339643,0.8374020665377003
20,1.1034217460643831,1.062546829945095,1.0384688137664484,Mig3,2,A,8,-0.2046524628643679,0.8378436633459717
127,1.1506534158818331,1.097996815810567,1.047956969740749,GIN1,2,F,6,0.19647372818902595,0.844239393780637
135,1.101003580438225,1.0509864477486976,1.0475906542816686,Skn7,1,F,10,0.1809871863127284,0.8563776337616275
171,1.0882549720588601,1.0470434329058453,1.0393599136939726,DAL80,2,H,10,-0.16697986128151915,0.8673858948135457
157,1.1029946389807617,1.0611918741188975,1.039392277571455,RCS1,2,G,1,-0.1656116292523033,0.8684625948598881
74,1.0890280058218105,1.0399847307396244,1.047157687639613,Met32,2,D,11,0.16268286454025743,0.8707681393604622
68,1.1181115604922613,1.0755910020802695,1.0395322741913553,Yap7,2,C,8,-0.15969305971644718,0.873122868283761
114,1.111049229317928,1.0686782435590472,1.039648028781583,Nrg1,2,E,6,-0.15479935876962897,0.876979496744751
73,1.1054077069973969,1.0558942625079302,1.046892426872236,Rgm1,2,D,12,0.1514685630951682,0.8796061077068957
28,1.1235433668799042,1.0805970069757787,1.0397431786566924,Ure2,2,B,9,-0.15077675341984187,0.8801518246821898
65,1.1082594265379049,1.065793699902529,1.0398442274891093,Hap2,2,C,5,-0.14650476069885646,0.8835229319758441
128,1.0850320342209645,1.0434222806986386,1.039878153161983,Rfx1,2,F,5,-0.14507050139962227,0.8846552083479486
63,1.1181302510890658,1.0683722407651408,1.0465736645200456,Mal33,2,C,3,0.13799240096928753,0.8902464232405799
