,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,-10.0,51.0,28.0,-1.0,80.0,59.0,23.0,-61.0,-107.0,86.0,-76.0,-30.0,14.0,-21.0,21.0,-36.0,219.0,-57.0,-32.0,-34.0,54.0,7.0,-11.0,12.0,7.0,-20.0,-162.0,-29.0,124.0,74.0,-203.0
10166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,56.0,46.0,9.0,55.0,-10.0,-49.0,71.0,-82.0,-136.0,53.0,150.0,-171.0,87.0,20.0,-20.0,-175.0,24.0,134.0,-120.0,65.0,-18.0,-66.0,114.0,39.0,-19.0,72.0,-2.0,-28.0,-6.0,-150.0,-1.0
10171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,14.0,-240.0,288.0,107.0,-65.0,7.0,39.0,-87.0,23.0,-32.0,64.0,-82.0,29.0,-24.0,86.0,-39.0,-24.0,35.0,-53.0,45.0,-40.0,27.0,-31.0,-12.0,14.0,183.0,-184.0,26.0,76.0
10179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,49.0,-258.0,76.0,61.0,-170.0,230.0,137.0,-5.0,-86.0,-6.0,43.0,-95.0,-9.0,-159.0,118.0,149.0,-27.0,80.0,-96.0,29.0,78.0,30.0,-27.0,-52.0,23.0,100.0,-70.0
10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,88.0,-17.0,93.0,52.0,-22.0,4.0,-26.0,12.0,-14.0,30.0,80.0,77.0,-41.0,-145.0,112.0,40.0,177.0,-116.0,-20.0,14.0,54.0,-4.0,-35.0,-10.0,19.0,-61.0,-142.0
10190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,-38.0,61.0,87.0,-13.0,63.0,78.0,-61.0,-321.0,223.0,52.0,-14.0,26.0,23.0,13.0,-25.0,-13.0,13.0,20.0,138.0,4.0,91.0,109.0,1.0,-58.0,32.0
10197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,-115.0,-25.0,33.0,-61.0,,,,,,,,,,,,,,,,,,,
10198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,47.0,-41.0,23.0,9.0,-14.0,35.0,10.0,28.0,-6.0,-130.0,-108.0,-3.0,0.0,119.0,75.0,56.0,-98.0,111.0,-42.0,-73.0,174.0,-214.0,2.0
10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,7.0,46.0,60.0,51.0,15.0,15.0,8.0,32.0,-10.0,3.0,19.0,2.0,13.0,35.0,21.0,9.0,41.0,-24.0,0.0,157.0,-153.0,29.0,-23.0
10203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,
10214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,149.0,289.0,-37.0,,,,,,,,,,,,,,,,,,,
10218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,-29.0,-17.0,227.0,-5.0,230.0,-82.0,-276.0,197.0,-165.0,125.0,-46.0,98.0,-27.0,-35.0,-11.0,,,,,,,
