,ttest,ttest_p,TF,TF Plate,Row,Col
54.0,-2.4885653369891796,0.01840525438980722,Reb1,1,C,6
119.0,-2.183129428657655,0.03181633361417112,Pex2,2,E,11
29.0,-1.9907615530662823,0.062831714173482,Phd1,2,B,8
79.0,-1.63411941975366,0.1050669295129936,Hmo1,2,D,6
84.0,-1.4779002104840917,0.1829598239867133,Mcm1,2,D,1
143.0,-1.251497868858583,0.22991908182426746,Met4,1,F,2
36.0,-1.0056811526355829,0.3152072429688564,Wtm1,2,B,1
63.0,-0.8812563243714517,0.3793287874371063,Mal33,2,C,3
35.0,-0.6153516080499201,0.5393584977450139,Bcy1,2,B,2
80.0,-0.5923170348138717,0.5553737109287326,Gcn4,2,D,5
113.0,-0.06903359121942865,0.9466572162740295,Nrg2,2,E,5
111.0,-0.05551477947758388,0.9561696486497512,Arg80,2,E,3
78.0,,,Sub1,2,D,7
