,ttest,ttest_p,TF,TF Plate,Row,Col
55.0,-4.705526669758318,3.626933384211021e-06,Fkh2,1,C,7
131.0,-4.629751515235519,4.79720006577387e-06,Pho23,2,F,2
134.0,-4.628370961680855,4.915523411916068e-06,Spt8,1,F,11
186.0,-4.462536914785414,1.0015672227003325e-05,Tec1,1,H,7
116.0,-4.560875416691934,1.0331883748073472e-05,Hms1,2,E,8
70.0,-4.231816347831857,3.155051856557532e-05,Ino2,2,C,10
117.0,-4.200476356781786,4.6985133948197394e-05,Hap3,2,E,9
120.0,-4.15943636141284,6.08220557843678e-05,Hpc2,2,E,12
24.0,-4.1752967290587755,6.409270864548894e-05,Yox1,2,A,12
51.0,-4.053517792998482,7.776914089467401e-05,Rap1,1,C,3
166.0,-3.983045310981612,8.027904956411828e-05,GAL4,2,G,10
34.0,-3.907079550474621,0.00012231883887717815,Mig2,2,B,3
125.0,-3.808610077170704,0.00016918091275360661,SDD 4.00,2,F,8
138.0,-3.8813902183449756,0.00019895026277648987,Tbf1,1,F,7
73.0,-3.805569410729629,0.00020461108925956537,Rgm1,2,D,12
127.0,-3.7894974148256786,0.00020639794543222197,GIN1,2,F,6
15.0,-3.735802498086321,0.00022009543520162768,Uga3,2,A,3
49.0,-3.6643294886351057,0.0002819153628028794,Sfl1,1,C,1
75.0,-3.674369184210943,0.00030333868515709317,Srd1,2,D,10
53.0,-3.7261211151555673,0.00034712870189370867,Zap1,1,C,5
124.0,-3.652184801552563,0.00036822934630572983,ZMS1,2,F,9
72.0,-3.5765891642048695,0.00041755208890996686,Cup9,2,C,12
97.0,-3.5349134855785387,0.00045599012559331063,Gis1,1,E,1
99.0,-3.499453081506273,0.0005010083255053358,Ace2,1,E,3
26.0,-3.4408018576319046,0.0007619506210108257,Spt3,2,B,11
67.0,-3.37387191796786,0.0008267468540550973,Tye7,2,C,7
81.0,-3.430767908241129,0.0012308168291556387,Fzf1,2,D,4
13.0,-3.136138520910126,0.0017972459688787893,Gat1,2,A,1
114.0,-3.0641138143762343,0.002399130615578333,Nrg1,2,E,6
76.0,-3.420703231743997,0.002447286504021859,Met28,2,D,9
19.0,-3.0712746181033035,0.00252866977762182,Gal80,2,A,7
115.0,-3.0313981480093077,0.0030187973899881977,Rtg1,2,E,7
145.0,-2.9931541050602712,0.0030495965164309665,Crz1,1,G,1
98.0,-2.9236462420103653,0.003566943934183762,Abf1,1,E,2
139.0,-2.9449965057151557,0.004696492783521027,Sfp1,1,F,6
128.0,-2.8261545581990957,0.005766628886884971,Rfx1,2,F,5
23.0,-2.7445740940760484,0.007172086052469043,Mac1,2,A,11
77.0,-2.6255881152390175,0.010429881097250428,Met31,2,D,8
119.0,-2.438776508384317,0.016951446204758885,Pex2,2,E,11
182.0,-2.3930467115547054,0.017077767129402628,Hfi1,1,H,11
82.0,-2.4870024117891463,0.017153429965735493,Rme1,2,D,3
29.0,-2.5582161842690216,0.02508371066438227,Phd1,2,B,8
84.0,-2.6597139040155127,0.032480607831656155,Mcm1,2,D,1
170.0,-2.044541419475174,0.04269672103496586,DAL82,2,H,11
143.0,-2.087886114222463,0.05705236355779105,Met4,1,F,2
79.0,-1.8663049081240395,0.06478925739801815,Hmo1,2,D,6
112.0,-1.823200364639732,0.07707572495912889,Lsm1,2,E,4
62.0,-1.6141917463451882,0.10753711130730835,Rox1,2,C,2
54.0,-1.492857496942548,0.14706874872932185,Reb1,1,C,6
74.0,-1.4776934128000057,0.15026908663324923,Met32,2,D,11
44.0,-1.3945687135304967,0.16782237928953875,Cat8,1,B,5
36.0,-1.3279027928391238,0.18507065169840642,Wtm1,2,B,1
113.0,-1.4651011759171735,0.18631306315564247,Nrg2,2,E,5
111.0,-1.238086108528141,0.2271852512493853,Arg80,2,E,3
63.0,-0.8402006720160523,0.4019900269583141,Mal33,2,C,3
35.0,-0.6897338051235433,0.491671492307305,Bcy1,2,B,2
80.0,-0.055589382453032805,0.9558272850892195,Gcn4,2,D,5
78.0,,,Sub1,2,D,7
